reference,skipper_id,url,assessment_number,name,town,city,country,zip,latitude,longitude,special_headline,short_description,long_description,property_type,views,date_added,new_build,is_rent,is_sale,is_let,price,price_from,daily_rate,under_contract,under_offer,status_banner,bedrooms,bathrooms,half_bathrooms,is_pets,buyer_type,youtube_id,vimeo_id,rego_embed_id,paradym_url,virtual_tour_url,virtual_tour_img,lotsize,sqft,date_relisted,agent,images
jbm_PW-234,35354,https://www.propertyskipper.com/property/jbm_pw_234_cedar_heights_lane,,Cedar Heights Lane,,Warwick,Bermuda,,0,0,Cedar Heights Lane,"Tucked away in Warwick is this spacious 3 bedroom,2 bath main house with garage, with a lower 1 bedroom,1 bath apartment.&#8230;","Tucked away in Warwick is this spacious 3 bedroom,2 bath main house with garage, with a lower 1 bedroom,1 bath apartment. Features a galley kitchen with ample cabinet space,separate dining room,living room and bonus room currently used as a bar. <br />
The lower rental unit is in excellent condition.Consists of separate living room,kitchen,full bath and tiled throughout. Each unit benefits from its own  separate tanks.There is also a semi-detached unit consisting of a bathroom ( no assessment number) that can be used as a studio apt. The rear garden area is a great space for entertaining with the built-in BBQ.<br />
With some modernization this home is a great stater home for a growing family. Located off of Cedar Hill Warwick,the home is close to schools and grocery stores. Perfect starter home with great potential.<br />
To view Contact Agent Johnette McNeil<br />
Cell: 331-5532<br />
Email: johnette@jbm-realty.com<br />
 <br />
 ",House,,7/16/2022,0,0,1,0,710000,0,0,0,0,,3,2,0,-1,Bermudian,,,,,,,0,0,,"[b'210', b'JBM Realty and Associates', b'JBM Realty and Associates', b'info@jbm-realty.com', b'(441) 331-5532']","[b'https://www.propertyskipper.com/assets/properties/35354/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35354/lg/19.jpg']"
cra_1256,35536,https://www.propertyskipper.com/property/cra_1256_cedar_crest_8,122793412,Cedar Crest 8,,Pembroke,Bermuda,,32.29647,-64.792019,,"<p>Cedar Crest 8 is a spacious 3 bedroom, 2 bathroom condo within walking distance to Hamilton. This small quiet development,&#8230;</p>","<p>Cedar Crest 8 is a spacious 3 bedroom, 2 bathroom condo within walking distance to Hamilton. This small quiet development, near BHS is very well maintained and has lovely gardens for the residents to enjoy.Cedar Crest would offer an excellent ROI to an investor as it is in a preferred location, ideal for working professionals.From the open plan living area sliding doors open to a sheltered balcony and an arched door reveals the adjoining 3rd bedroom which could easily function as a den or office.The main bedroom is en-suite with plenty of closet space. The other two bedrooms and 2nd bathroom are located off a separate hallway from the living room and both are double aspect and have good size closets.The condo has its own laundry/storage room as well as a drop-down ladder in the hallway to access attic storage.</p>",Condo,,9/7/2022,0,0,1,0,575000,0,0,0,0,,3,2,0,-1,Bermudian,,,,https://www.bda4sale.com/videos/cedarcrest8V/cedarcrest8V.mp4,,,0,0,,"[b'456', b'Sharon Cranfield', b'Cranfields Property Bermuda Ltd', b'Sharon@bda4sale.com', b'+1-441-305 8074']","[b'https://www.propertyskipper.com/assets/properties/35536/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35536/lg/19.jpg']"
clba_10867,35600,https://www.propertyskipper.com/property/clba_10867_first_time_home_buyer_downsizing_or_great_rental_property_cavendish_oleander_unit_1,41907019,"First time home buyer, Downsizing or Great Rental property Cavendish - Oleander Unit #1",,Devonshire,Bermuda,,32.29758514,-64.77009386,,"<p>Perfect for a first-time home buyer, small family or someone simply downsizing, Oleander Unit 1 enjoys the benefits of condo living, along with convenience, security and privacy. Well-manicured lawns surround each building with full grown palms & shrubs providing shady comfort around the development&#8230;</p>","<p>Perfect for a first-time home buyer, small family or someone simply downsizing, Oleander Unit 1 enjoys the benefits of condo living, along with convenience, security and privacy. Well-manicured lawns surround each building with full grown palms & shrubs providing shady comfort around the development grounds.<br />
An exterior foyer leads to a cozy but uncluttered kitchen with pine cabinets and Corian countertop and new stove. Combined living/dining area extends to a covered patio with lawn just beyond. There is a laundry unit just off of the kitchen with new appliance. The Main bedroom is accessed via a open staircase leading to the upper level with a private patio. The second bedroom has an attic access which can be further developed if needed. The bathroom has been totally renovated with a shower and stone countertop. <br />
Major appliances, window treatments and designated car space included.<br />
Kitchen and bathroom have been renovated and new tile floor on the lower level. Additionally, new windows installed and electrical panel. <br />
Small pets allowed. <br />
<br />
Maintenance at $500pm - which covers landscaping, exterior maintenance, painting exterior walls and roof.</p>",Condo,405,10/1/2022,0,0,1,0,495000,0,0,0,0,,2,1,0,-1,Bermudian,,,,,,,0,0,,"[b'40', b'Tab Froud', b'Coldwell Banker Bermuda Realty', b'tfroud@brcl.bm', b'441-535-9136']","[b'https://www.propertyskipper.com/assets/properties/35600/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35600/lg/8.jpg']"
clba_10864,35618,https://www.propertyskipper.com/property/clba_10864_one_level_condo_in_devonshire_douglas_close_unit_4,40432319,One level Condo in Devonshire Douglas Close Unit #4,,Devonshire,Bermuda,,32.3085366,-64.74575,,"<p>Renovated, 2 bed, 1 bath condo. Comes with all new major appliances, fridge, stove and dishwasher, plus laundry. End unit with lovely patio for entertaining with overland views and glimpses of the ocean. Features a very useable attic/loft space, which is air conditioned. Monthly maintenance is $475.&#8230;</p>","<p>Renovated,  2 bed, 1 bath condo. <br />
Comes with all new major appliances, fridge, stove and dishwasher, plus laundry.<br />
End unit with lovely patio for entertaining with overland views and glimpses of the ocean. <br />
Features a very useable attic/loft space, which is air conditioned.<br />
Monthly maintenance is $475.<br />
Parking close to unit and entry is easy access and all one level.</p>",Condo,251,10/5/2022,0,0,1,0,455000,0,0,0,0,,2,1,0,-1,Bermudian,,,,,,,0,0,,"[b'41', b'Heather Chilvers', b'Coldwell Banker Bermuda Realty', b'hchilvers@brcl.bm', b'441-332-1793']","[b'https://www.propertyskipper.com/assets/properties/35618/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35618/lg/11.jpg']"
deco_404,35579,https://www.propertyskipper.com/property/deco_404_verdmont_valley_unit_4,110540913,Verdmont Valley Unit 4,,Smith's,Bermuda,,32.31005545,-64.74245202,,"<p>Looking for your first home? Trying to downsize? How about an investment property? Whichever you're looking for, this is&#8230;</p>","<p>Looking for your first home? Trying to downsize? How about an investment property? Whichever you're looking for, this is the place for you.

This upper-level one-bedroom condo is perfect for anyone looking for a quiet home in a convenient location. Just minutes from grocery stores, restaurants, pharmacies and more. This home is flooded with natural light showing off its large kitchen, bathroom, spacious bedroom and open plan living &amp; dining area. Enjoy a morning coffee on your covered patio overlooking lush gardens.

With ample parking and use of a large storage room this condo offers it all. See it before it's gone.</p>",Condo,,9/17/2022,0,0,1,0,445000,0,0,0,0,,1,1,0,-1,Bermudian,,,,,https://my.matterport.com/show/?m=eCc8xigFJDP,,0,0,,"[b'365', b'Matt Shrubb', b'Shrubb Realty', b'matt@shrubbrealty.com', b'(441) 535-6288']","[b'https://www.propertyskipper.com/assets/properties/35579/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35579/lg/11.jpg']"
bpl_589939,35087,https://www.propertyskipper.com/property/further_reduction_lovely_spacious_and_bright_upper_3_beds_2baths_bpl_589939,,FURTHER REDUCTION - LOVELY SPACIOUS AND BRIGHT UPPER 3 BEDS / 2BATHS,,Warwick,Bermuda,WK10,0,0,"FURTHER REDUCTION - LOVELY SPACIOUS AND BRIGHT UPPER 3 BEDS/2BATHS CONDO IN WARWICK PRICED FOR QUICK SALE AT $440,000",<p>OUR OWNERS ARE SUPER MOTIVATED TO SELL-FURTHER REDUCTION IN PRICE!Whether you are seeking an investment property or a new&#8230;</p>,"<p>OUR OWNERS ARE SUPER MOTIVATED TO SELL-FURTHER REDUCTION IN PRICE!Whether you are seeking an investment property or a new home, this little gem located in alovely Warwickneighbourhood and close to the South Shore beaches is priced for value!Avocado Mews Unit 3 is one of 4 units in a small condo development overlooking the communalgardens.Located on the upper level, the home is bright and spacious consisting of a large living room with access to outdoor balcony, combined kitchen and dining ares, master bedroom with ensuite bathroom, two additional bedrooms, second full bath, laundry closet andcoat/storage closet.The property has a largepatio perfect for entertaining and BBQ &#39;s and additional parking for your guests.The home is fitted withceiling fans throughout, ac units,tile flooring and some major appliances which are included in the sale. Monthly condo fee of $410includes building insurance, water ( 2 tanks and well), landscaping and exterior lightings. Yearly land tax of $761 ($63.41 monthly) and one small indoor fur baby is allowed!A short commute to Hamilton, this property offers an excellent opportunity to enter the arena of home ownership. Pre-approved and able buyers are welcome to contact Sole Agent to arrange a tour.</p>",House,,4/19/2022,0,0,1,0,440000,0,0,0,0,,3,2,0,,Bermudian,,,,,,,0,0,,"[b'76', b'Ann M. Malcolm', b'Bermuda Property Link Ltd.', b'ann@bermudapropertylink.com', b'441-704-6212']","[b'https://www.propertyskipper.com/assets/properties/35087/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35087/lg/10.jpg']"
JL405,27566,https://www.propertyskipper.com/property/jl405_5_devon_spring_lane,42169011,5 Devon Spring Lane,,Devonshire,Bermuda,,32.3048092,-64.7444289,,"<p><p>Affordable Condominium with stunning views! New to the market, this penthouse condominium is conveniently located in&#8230;</p>","<p><p>Affordable Condominium with stunning views! New to the market, this penthouse condominium is conveniently located in Devonshire. Within walking distance of supermarket, restaurants, pharmacy, gas station and bus stop.</p>
<p>Comprising; 2 bedrooms, 1 bathroom, kitchen with major appliances and stacked washer/dryer, open plan living/dining room with cathedral ceilings and glass sliding doors onto a private terrace. Additional attic space for storage. Enormous communal garden area and laundromat on site.</p>
<p>Furnishings may be negotiated separately.</p>
<p>Condominium fees $449.00 per month.<br />Available to Bermudian Purchasers only</p>
<p>Priced to sell $435,000.00&nbsp;</p>
<p>Please call the SOLE AGENT to view</p>
<p>&nbsp;</p></p>",Condo,,12/3/2019,0,0,1,0,435000,0,0,0,0,,2,1,0,-1,Bermudian,,,,,,,0,0,12/3/2019,"[b'392', b'Christie Lusher Carter', b'Joy Lusher Real Estate Ltd.', b'christie@joylusher.com', b'441.332.2296']","[b'https://www.propertyskipper.com/assets/properties/27566/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/27566/lg/8.jpg']"
reg_11186,35612,https://www.propertyskipper.com/property/reg_11186_fidelwoods,70668019,Fidelwoods,,Paget,Bermuda,,0,0,,"<p>A short drive East of Hamilton, Fidelwoods is an unfurnished 4 bedroom, 3.5 bathroom home nestled in a private garden, family fun and function define the home’s interior. The grand two-story home offers a fantastic inside -outside lifestyle for a bustling family. This gated property provides privacy,&#8230;</p>","<p>A short drive East of Hamilton, Fidelwoods is an unfurnished 4 bedroom, 3.5 bathroom home nestled in a private garden, family fun and function define the home’s interior. The grand two-story home offers a fantastic inside -outside lifestyle for a bustling family. This gated property provides privacy, manicured gardens and views of Hamilton Harbour. Boasting large covered verandahs that are ideal for entertaining or just relaxing. Upon entering the spacious kitchen with a fireplace and offers lots of light with an island and buillt in Wolf range with plenty of seating. The white cabinetry pops against the stainless steel appliances . The ground floor entertaining spaces include a dining room with fireplace, a living room with fire place , family room , fourth bedroom/office, laundry and powder room. Upstairs comprises of the primary bedroom with en-suite bath and two walk in closets. The other two bedrooms include their own bathrooms. A circular driveway and garage are great assets to the property. Pets are invited.</p>",House,,10/4/2022,0,1,0,0,15000,0,0,0,0,,4,3,1,-1,International,,,,,,,0,0,,"[b'49', b'Daina Outerbridge', b""Rego Sotheby's International Realty "", b'douterbridge@regosir.com', b'441 299 1504']","[b'https://www.propertyskipper.com/assets/properties/35612/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35612/lg/12.jpg']"
moura_1088-1578,35571,https://www.propertyskipper.com/property/moura_1088_1578_harbour_gardens_unit_3,,Harbour Gardens Unit 3,,Warwick,Bermuda,,32.280556,-64.794702,,"<p>Located on the corner of Harbour Road and Cobbs Hill we have for  rent A Fantastic condo in  a quiet complex of only 9 luxury units. There is a formal  living room, library, and powder room on the main floor with large sliding doors to balcony. Lower level is an open plan kitchen fitted with modern&#8230;</p>","<p>Located on the corner of Harbour Road and Cobbs Hill we have for  rent A Fantastic condo in  a quiet complex of only 9 luxury units. There is a formal  living room, library, and powder room on the main floor with large sliding doors to balcony. Lower level is an open plan kitchen fitted with modern amenities and pantry area.  A dining room with doors leading to a quaint private garden and a bonus room which could be a 4th bedroom or a den / study / office and large storage area.   The master bedroom, with ensuite bathroom, is situated on the upper level and has a private patio, which overlooks the gardens, pool and  Harbour. There are also  two guest bedrooms and shared bath. Amenities include A huge communal pool, Fabulous views of Hamilton Harbour, Reserved parking and Tennis Courts and  Darrells Wharf a 2 minute walk.</p>",Condo,,9/15/2022,0,1,0,0,10000,0,0,0,0,,4,3,0,-1,International,,,,,,,0,0,,"[b'405', b'Donna Bennett', b'Keller Williams Bermuda', b'donna.bennett@kwbermuda.com', b'441-535-9909']","[b'https://www.propertyskipper.com/assets/properties/35571/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/19.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/20.jpg', b'https://www.propertyskipper.com/assets/properties/35571/lg/21.jpg']"
cra_R288,35492,https://www.propertyskipper.com/property/cra_r288_west_coast_upper,81270410,West Coast Upper,,Devonshire,Bermuda,,32.322131,-64.736779,,"<p>WESTCOAST UPPER - A rare, superb, modern one bedroom 1.5 bath apartment located in the beautiful and historic Flatts Village.&#8230;</p>","<p>WESTCOAST UPPER - A rare, superb, modern one bedroom 1.5 bath apartment located in the beautiful and historic Flatts Village.This spectacular home is the top floor of the iconic orange building, on the water. The very generous open-plan living dining and kitchen space boasts high ceilings and is modern in style, design and decoration with top finishes everywhere.This flows seamlessly through large glass doors onto a spectacular terrace with direct views of Flatts Bridge and the inlet. Turn off the TV - the views from your terrace are far more interesting and entertaining! Turtles, Sting Rays, Fish, Coral, Boats and the new Bermuda railway over water bridge are all part of the unique experience in Flatts Village. There is a dock, shared with the apartment below which offers a wonderful place to enjoy fishing, paddle boarding and swimming.Pieces from the owner’s Modern art collection enhance the experience in the shared entrance gallery as well as in your apartment. There is parking for a car and bike included and located in the below building garage.</p>",Condo,,8/25/2022,0,1,0,0,10000,0,0,0,0,,1,1,0,1,International,,,,,,,0,0,,"[b'547', b'Raj Tolaram', b'Cranfields Property Bermuda Ltd', b'raj@bda4sale.com', b'+1 (441) 705-7705']","[b'https://www.propertyskipper.com/assets/properties/35492/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35492/lg/19.jpg']"
JLPW-254,35292,https://www.propertyskipper.com/property/jlpw_254_chriseldin,31686117,Chriseldin,,Sandys,Bermuda,,32.27715512,-64.88409519,,<p><strong>Enjoy absolutely breathtaking views of South Shore and complete privacy from this lovely spacious home!&nbsp;<br&#8230;</p>,"<p><strong>Enjoy absolutely breathtaking views of South Shore and complete privacy from this lovely spacious home!&nbsp;<br /><br /></strong>Comprising a large covered front patio that also has lovely water views of Ely's Harbour, kitchen that has recently been renovated with all major appliances, a formal dining room and a spacious living room with wooden beams, a working fireplace, and French doors that open on to the front and the back patio where there is also ample yard space. The master bedroom has a bathroom en-suite along with a walk-through closet leading to the formal study that can also be used as a bonus living room. There are three more bedrooms upstairs with one of them being en-suite with the laundry room next door and the other two sharing a bathroom that has recently been renovated. Downstairs is the fifth bedroom also with a full bathroom right next door. From the middle level near the kitchen you can access the pool. Enjoy wood and wood-look vinyl flooring throughout along with split system air conditioning units. This property also has a garage and bonus storage space!&nbsp;<br /><br />There is also the option of use of a dock that can hold up to a 25 ft. Whaler along with a mooring for an extra monthly fee.&nbsp;<br /><br /><strong>Asking $8,500.00 per month to include maintenance of the grounds - maintenance of the pool, along with a required cleaner three days per week will be for the Tenants account, service providers to be provided to the Tenants.&nbsp;<br /><br /></strong>Available now and offered partially furnished or unfurnished.&nbsp;<br /><br />Contact Christie today to view! 332-2296 / christie@joylusher.com</p>",House,,6/24/2022,0,1,0,0,8500,0,0,0,0,,5,4,0,1,International,AU86ocawLgI,,,,,,0,0,,"[b'392', b'Christie Lusher Carter', b'Joy Lusher Real Estate Ltd.', b'christie@joylusher.com', b'441.332.2296']","[b'https://www.propertyskipper.com/assets/properties/35292/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/19.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/20.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/21.jpg', b'https://www.propertyskipper.com/assets/properties/35292/lg/22.jpg']"
pgrp_PW-1002,35470,https://www.propertyskipper.com/property/pgrp_pw_1002_clarendale_drive,,Clarencedale Drive,,Pembroke,Bermuda,,32.30730199,-64.80777025,,"<p><p>Just minutes from downtown Hamilton this large bright and airy duplex has just been renovated throughout to the highest standard. The ground floor is comprised of a formal entrance foyer, a large living room, a formal dining room, an open plan kitchen and family room (all new stainless steel appliances),&#8230;</p>","<p><p>Just minutes from downtown Hamilton this large bright and airy duplex has just been renovated throughout to the highest standard. The ground floor is comprised of a formal entrance foyer, a large living room, a formal dining room, an open plan kitchen and family room (all new stainless steel appliances), a powder room and laundry. The second floor houses the very large primary bedroom with large walk-in closet and ensuite bathroom with (tub and walk in shower) and two additional spacious bedrooms with shared bathroom. In addition there is a basement storage room, lots of allocated parking and deeded access to the waters of the North Shore.</p></p>",House,,8/17/2022,0,1,0,0,8500,0,0,0,0,,3,2,,,International,,,,,,,0,0,,"[b'377', b'Liz Wright', b'Property Group', b'liz@tpg.bm', b'441-331-2014']","[b'https://www.propertyskipper.com/assets/properties/35470/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35470/lg/17.jpg']"
